,ip_group,family,H_mean,H_sem,V_mean,V_sem,n_fills
0,15_2,Family_1,0.49506372284162087,,0.14887599193687573,,14
1,15_2,Family_3,0.8854614028725007,0.07996470521626613,0.2065398161912802,0.06281726408492026,14
2,15_2,Family_4,0.6884601140038573,,-0.059789686527837095,,14
3,15_2,Family_5,0.8865595432439746,0.08548069459620651,0.18848927080247832,0.044096333929362616,14
4,15_2,Family_6,0.7793184813443219,0.08513542395123573,0.1928610083702044,0.03533973911605884,14
5,15_2,Family_7,0.9576415897403068,0.08022045730893086,0.3246863035170073,0.04633142462986749,14
6,15_2_8,Family_1,0.5989927591478078,0.06957861269814274,0.149729138712757,0.029435735734982427,14
7,15_2_8,Family_2,,,,,14
8,15_2_8,Family_3,0.6973156648402065,0.05613473591847341,0.19978088228814575,0.02742613672441968,14
9,15_2_8,Family_4,0.6564966273073155,0.05271273641907023,0.14333942176398315,0.023114959401661687,14
10,15_2_8,Family_5,0.7547477837279349,0.05021593687969063,0.18007552970224186,0.027897072939310964,14
11,15_2_8,Family_6,0.7793131293744638,0.04470962993576215,0.2666207937697044,0.03056026388086311,14
12,15_2_8,Family_7,0.8582108357175277,0.03797617607027126,0.31521842306623865,0.031248292591988414,14
13,15_2_8,Family_8,,,,,14
14,15_8,Family_1,0.6892901055204371,0.05416071230512799,0.18847987423629695,0.026179710989735365,14
15,15_8,Family_2,0.8142853939979033,0.03552060921682145,0.41842317143895913,0.035250200727657416,14
16,15_8,Family_3,0.747519656956183,0.042987523586260436,0.21431728769185868,0.03259019364005185,14
17,15_8,Family_4,0.6604441012413437,0.05091783517179806,0.19395833094866063,0.029677391277445512,14
18,15_8,Family_5,0.8019081913145427,0.0378728588385287,0.2282165272077638,0.04440899841199024,14
19,15_8,Family_6,0.8026198099402896,0.03635215788786443,0.25916741345422756,0.036328683137335435,14
20,15_8,Family_7,0.8800614590828195,0.03823094820536761,0.38127061616011804,0.041192891841093815,14
21,15_8,Family_8,0.7182736641540176,0.03842562385094525,0.26701936230334106,0.03767204468327534,14
22,15_only,Family_2,0.7231018394376065,0.0839687002895125,0.3352958375346123,0.053800653985323195,14
23,15_only,Family_8,0.434303594238364,,-0.09353521505671775,,14
